"","pid","date","condition","tstamp","uid","opens","consumetime","newtweets","compose","reply","likes","retweet","follow","unfollow","statPageView","dialogExit","dialogIgnore","avgAttentionScore","logAtnScore","consumetimeHours"
"32","pilot05","05/02","3",1620017349353058,"f863e8fc567a0382572d3cf01a6a05d4",16,3042,305,0,0,0,0,0,0,1,0,11,1.2,0.182321556793955,0.845
"33","pilot05","05/04","2",1.62019e+15,"f863e8fc567a0382572d3cf01a6a05d4",7,2406,294,0,0,0,0,0,0,1,NA,NA,1,0,0.668333333333333
"34","pilot05","05/05","2",1620266212335028,"f863e8fc567a0382572d3cf01a6a05d4",32,2081,315,0,0,0,0,0,0,NA,NA,NA,1.333333333,0.287682072201781,0.578055555555556
"35","pilot05","05/06","2",1.62036e+15,"f863e8fc567a0382572d3cf01a6a05d4",13,2133,315,0,0,0,0,0,0,NA,NA,NA,1,0,0.5925
"36","pilot05","05/07","2",1620442697396266,"f863e8fc567a0382572d3cf01a6a05d4",9,2276,182,0,0,0,0,0,0,NA,NA,NA,2,0.693147180559945,0.632222222222222
"37","pilot05","05/08","2",1620534379893042,"f863e8fc567a0382572d3cf01a6a05d4",16,1404,1712,0,0,0,0,0,0,NA,NA,NA,1,0,0.39
"38","pilot05","05/09","2",1620609763455074,"f863e8fc567a0382572d3cf01a6a05d4",11,2575,192,0,0,0,0,1,0,NA,NA,NA,1.333333333,0.287682072201781,0.715277777777778
"39","pilot05","05/11","1",1620789939166006,"f863e8fc567a0382572d3cf01a6a05d4",8,2548,279,0,0,0,0,0,0,1,0,3,1,0,0.707777777777778
"40","pilot05","05/12","1",1620873569135165,"f863e8fc567a0382572d3cf01a6a05d4",14,2487,306,0,0,0,0,0,0,1,0,3,1,0,0.690833333333333
"41","pilot05","05/13","1",1620969069820056,"f863e8fc567a0382572d3cf01a6a05d4",19,3050,334,0,0,0,0,0,0,1,0,3,1,0,0.847222222222222
"42","pilot05","05/14","1",1621053401627245,"f863e8fc567a0382572d3cf01a6a05d4",11,2189,334,0,0,0,0,0,0,1,0,3,1,0,0.608055555555556
"43","pilot05","05/15","1",1.62114e+15,"f863e8fc567a0382572d3cf01a6a05d4",67,5568,48,0,0,0,0,0,0,1,0,5,1,0,1.54666666666667
"44","pilot05","05/16","1",1621228708263023,"f863e8fc567a0382572d3cf01a6a05d4",92,5284,48,0,0,0,0,0,0,1,0,5,2,0.693147180559945,1.46777777777778
"45","pilot05","05/17","0",1621311488305003,"f863e8fc567a0382572d3cf01a6a05d4",78,3210,32,0,0,0,0,0,0,NA,NA,1,1,0,0.891666666666667
"46","pilot05","05/17","1",1621296664835043,"f863e8fc567a0382572d3cf01a6a05d4",53,1866,20,0,0,0,0,0,0,0,0,1,1,0,0.518333333333333
"47","pilot05","05/18","0",1621406930350016,"f863e8fc567a0382572d3cf01a6a05d4",12,1665,32,0,0,0,0,0,0,NA,NA,1,1,0,0.4625
"48","pilot05","05/19","0",1621491765666024,"f863e8fc567a0382572d3cf01a6a05d4",27,1962,18,0,0,0,0,0,0,NA,NA,NA,1,0,0.545
"49","pilot05","05/20","0",1621572384674115,"f863e8fc567a0382572d3cf01a6a05d4",15,2420,24,0,0,0,0,3,0,NA,NA,NA,1,0,0.672222222222222
"50","pilot05","05/21","0",1621661222267006,"f863e8fc567a0382572d3cf01a6a05d4",36,4023,24,0,0,0,0,3,0,NA,NA,NA,1,0,1.1175
"51","pilot05","05/22","0",1.62174e+15,"f863e8fc567a0382572d3cf01a6a05d4",38,2170,28,0,0,0,0,0,0,NA,NA,NA,1,0,0.602777777777778
"52","pilot05","05/23","0",1621831303208057,"f863e8fc567a0382572d3cf01a6a05d4",66,2621,28,0,0,0,0,0,0,NA,NA,NA,2,0.693147180559945,0.728055555555556
"53","pilot05","05/24","3",1621916744492015,"f863e8fc567a0382572d3cf01a6a05d4",36,880,82,0,0,0,0,0,0,1,0,0,1,0,0.244444444444444
"54","pilot05","4/26","3",1619507273122011,"f863e8fc567a0382572d3cf01a6a05d4",56,1939,316,0,0,0,0,0,0,5,0,11,1.5,0.405465108108164,0.538611111111111
"55","pilot05","4/27","3",1619582839697004,"f863e8fc567a0382572d3cf01a6a05d4",26,2676,282,0,0,1,0,0,0,4,0,11,2,0.693147180559945,0.743333333333333
"56","pilot05","4/28","3",1.61966e+15,"f863e8fc567a0382572d3cf01a6a05d4",56,4956,226,0,0,0,0,0,0,6,0,8,1.8,0.587786664902119,1.37666666666667
"57","pilot05","4/29","3",1619759272982045,"f863e8fc567a0382572d3cf01a6a05d4",7,3049,226,0,0,0,0,0,0,6,0,8,1.5,0.405465108108164,0.846944444444444
"58","pilot05","4/30","3",1619845825814036,"f863e8fc567a0382572d3cf01a6a05d4",16,2780,231,0,0,0,0,1,0,1,0,6,2,0.693147180559945,0.772222222222222
"59","pilot06","05/04","2",1620168117099057,"9e81ef181596669488b61b44cad5421b",3,1209,58,0,0,0,0,0,0,NA,NA,NA,1,0,0.335833333333333
"60","pilot06","05/12","1",1620865786051018,"9e81ef181596669488b61b44cad5421b",4,422,57,0,0,0,0,0,0,2,0,0,2,0.693147180559945,0.117222222222222
"61","pilot06","05/16","1",1621226918642029,"9e81ef181596669488b61b44cad5421b",5,559,16,0,0,0,0,0,0,1,0,0,2,0.693147180559945,0.155277777777778
"62","pilot06","05/19","0",1621482093885058,"9e81ef181596669488b61b44cad5421b",5,482,17,0,0,0,0,0,0,NA,NA,NA,3,1.09861228866811,0.133888888888889
"63","pilot06","4/26","3",1619492624905004,"9e81ef181596669488b61b44cad5421b",10,888,21,0,0,0,0,0,0,4,0,0,3,1.09861228866811,0.246666666666667
"64","pilot06","4/27","3",1619556729881009,"9e81ef181596669488b61b44cad5421b",2,299,65,0,0,0,0,0,0,4,0,0,2,0.693147180559945,0.0830555555555555
"65","pilot07","05/08","2",1620492149032051,"22836590aaf51baf83d08bb11d3a747e",3,261,86,0,0,2,1,0,0,7,NA,1,1,0,0.0725
"66","pilot07","05/18","0",1621354901877053,"22836590aaf51baf83d08bb11d3a747e",3,386,13,0,0,1,0,0,0,2,NA,NA,1,0,0.107222222222222
"67","pilot07","05/24","0",1621875423831003,"22836590aaf51baf83d08bb11d3a747e",3,277,12,0,0,1,0,0,0,NA,NA,NA,1,0,0.0769444444444444
"68","pilot07","4/28","3",1619631432776155,"22836590aaf51baf83d08bb11d3a747e",4,577,30,0,0,4,0,0,0,4,0,0,1,0,0.160277777777778
"69","pilot07","4/30","3",1619800265295046,"22836590aaf51baf83d08bb11d3a747e",3,299,38,0,0,4,0,0,0,4,0,0,1,0,0.0830555555555555
"70","pilot09","05/03","3",1620105629941011,"a02b1cbc4b208aec90916f6f3efc2506",3,1512,120,0,0,0,0,0,0,0,0,0,3,1.09861228866811,0.42
"71","pilot09","05/17","1",1621318907166096,"a02b1cbc4b208aec90916f6f3efc2506",13,1035,29,0,0,1,0,0,0,1,0,0,3,1.09861228866811,0.2875
"72","pilot09","05/23","0",1621808082285018,"a02b1cbc4b208aec90916f6f3efc2506",4,699,26,0,0,0,0,0,0,NA,NA,NA,3,1.09861228866811,0.194166666666667
"73","pilot09","4/27","3",1619583128012013,"a02b1cbc4b208aec90916f6f3efc2506",13,418,19,0,0,0,0,0,0,2,0,0,2,0.693147180559945,0.116111111111111
"74","pilot09","4/28","3",1619667446683001,"a02b1cbc4b208aec90916f6f3efc2506",9,421,133,0,0,4,0,0,0,3,0,0,5,1.6094379124341,0.116944444444444
"75","pilot09","4/29","3",1619769186599016,"a02b1cbc4b208aec90916f6f3efc2506",7,669,133,0,0,4,0,0,0,3,0,0,2,0.693147180559945,0.185833333333333
"76","pilot10","05/11","1",1620793691589005,"30ae3a1e50aba3b4cbdbbead54e2bb0d",3,684,23,0,0,1,0,0,0,3,0,0,1,0,0.19
"77","pilot10","05/19","0",1621455511202024,"30ae3a1e50aba3b4cbdbbead54e2bb0d",2,885,8,0,0,0,0,0,0,NA,NA,NA,1,0,0.245833333333333
"78","pilot10","4/27","3",1.61957e+15,"30ae3a1e50aba3b4cbdbbead54e2bb0d",11,3377,19,0,0,0,0,0,0,5,2,2,1,0,0.938055555555556
