"","X","pid","date","condition","ts","uid","internal","external","feedname","feedname_general","ft","ftah","avgAttentionScore","fthrs","ftmin","ftahhrs","ftahmin","scrolledIntoOld"
"29",29,"p02","05/11",1,1.62079e+15,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",17,10,5,0.00472222222222222,0.283333333333333,0.00277777777777778,0.166666666666667,"yes"
"30",30,"p02","05/11",1,1620784759655009,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",53,NA,5,0.0147222222222222,0.883333333333333,NA,NA,"no"
"31",31,"p02","05/11",1,1620786190964004,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",18,NA,5,0.005,0.3,NA,NA,"no"
"32",32,"p02","05/17",0,1621284407501007,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",60,60,3,0.0166666666666667,1,0.0166666666666667,1,"yes"
"33",33,"p02","05/17",0,1621315720445011,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",29,NA,3,0.00805555555555556,0.483333333333333,NA,NA,"no"
"34",34,"p02","05/17",0,1.62132e+15,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",218,218,3,0.0605555555555556,3.63333333333333,0.0605555555555556,3.63333333333333,"yes"
"35",35,"p02","05/17",0,1621316137402021,"8f25811dbb036da11d7a22d69dc2cb00","0",0,"home","home",5,NA,3,0.00138888888888889,0.0833333333333333,NA,NA,"no"
"36",36,"p02","05/17",1,1.62126e+15,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",36,NA,5,0.01,0.6,NA,NA,"no"
"37",37,"p02","05/17",1,1621256650164012,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",3,NA,5,0.000833333333333333,0.05,NA,NA,"no"
"38",38,"p02","05/17",1,1.62126e+15,"8f25811dbb036da11d7a22d69dc2cb00","0",1,"home","home",38,NA,5,0.0105555555555556,0.633333333333333,NA,NA,"no"
